"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-28",,,,,,,,,,,,,,,"1.43",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-29",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-30",,,,,,,,,,,,,,,"0.45",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-31",,,,,,,,,,,,,,,"0.73",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-01",,,,,,,,,,,,,,,"0.07",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-02",,,,,,,,,,,,,,,"0.01",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-03",,,,,,,,,,,,,,,"0.01",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-04",,,,,,,,,,,,,,,"1.10",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-05",,,,,,,,,,,,,,,"0.01",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-06",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-07",,,,,,,,,,,,,,,"0.75",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-08",,,,,,,,,,,,,,,"0.02",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-09",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-10",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-11",,,,,,,,,,,,,,,"0.81",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-12",,,,,,,,,,,,,,,"0.87",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-13",,,,,,,,,,,,,,,"0.04",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-14",,,,,,,,,,,,,,,"1.01",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-15",,,,,,,,,,,,,,,"0.30",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-16",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-17",,,,,,,,,,,,,,,"1.11",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-18",,,,,,,,,,,,,,,"0.13",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-19",,,,,,,,,,,,,,,"0.17",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-20",,,,,,,,,,,,,,,"0.33",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-21",,,,,,,,,,,,,,,"0.38",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-22",,,,,,,,,,,,,,,"0.99",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-23",,,,,,,,,,,,,,,"1.13",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-24",,,,,,,,,,,,,,,"0.24",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-25",,,,,,,,,,,,,,,"0.09",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-26",,,,,,,,,,,,,,,"0.02",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-27",,,,,,,,,,,,,,,"0.24",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-28",,,,,,,,,,,,,,,"0.02",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-29",,,,,,,,,,,,,,,"0.02",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-09-30",,,,,,,,,,,,,,,"0.63",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-01",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-02",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-03",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-04",,,,,,,,,,,,,,,"0.04",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-05",,,,,,,,,,,,,,,"0.08",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-06",,,,,,,,,,,,,,,"0.13",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-07",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-08",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-09",,,,,,,,,,,,,,,"0.39",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-10-10",,,,,,,,,,,,,,,"0.10",",,a",,,,,,
